run_name,model,family,feature_variant,best_trial,best_objective,mean_fold_val_mae,mean_fold_val_rmse,combined_val_mae,combined_val_rmse,combined_val_r2,test_mae,test_rmse,test_r2,n_candidate_groups,n_candidate_features,n_selected_groups,n_selected_features,selected_groups_str,compute_device,hardware,n_trials,train_total_seconds,study_wall_seconds,per_trial_seconds,final_fit_seconds,ablation_mode,code_version,n_test_rows
lgbm_fs4_wp,lgbm,tree,fs4,80.0,12.365499271602793,12.207740703023939,17.664581099221326,12.207740703023939,18.484424867278484,0.7985789926357411,14.521775272514413,19.5319197411923,0.8850307247810106,71.0,233.0,35,115,"time__month_boundary_indicators, time__intraday_settlement_period_cyclical, time__intraday_day_progress_cyclical, time__weekly_calendar_cyclical, time__monthly_calendar_cyclical, time__annual_calendar_cyclical, price__price_neighbor_lags_7d, price__price_rolling_same_period_2d, price__price_rolling_same_period_3d, price__price_rolling_same_period_7d, price__price_daily_summary_lag_1d, price__price_daily_summary_lag_3d, price__neighbor_prices_lag_24h, price__price_neighbor_spreads_lag_24h, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_scheduled_exchanges, fundamentals__fund_net_imports, fundamentals__fund_load_lag_24h, fundamentals__fund_forecast_error_24h, fundamentals__fund_residual_load_rolling, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_neighbours_residual_load_fc, fundamentals__fund_system_aggregates, fundamentals__fund_ttf_da, fundamentals__fund_eua_carbon, fundamentals__fund_nordic_hydro_levels, fundamentals__fund_hydro_regime_dev, fundamentals__fund_np_ida_capacity_ger, fundamentals__fund_np_intraday, weather__weather_wind100m_zones, weather__weather_wind_shear, weather__weather_solar",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,1301.2585189701058,1309.2029349249788,13.012585189701058,2.6479278141632676,with_penalty,,2684.0
xgb_fs4_wp,xgb,tree,fs4,97.0,12.208090178750057,12.049988262531716,17.622268763138884,12.049988262531718,18.34882045745261,0.8015234595427526,15.111032038335917,19.948482929465893,0.8800744612128035,71.0,233.0,35,119,"time__intraday_position_raw, time__intraday_position_dst_aware, time__month_boundary_indicators, time__day_type_indicators, time__holiday_indicators, time__intraday_settlement_period_cyclical, time__intraday_day_progress_cyclical, time__minute_of_day_cyclical, time__monthly_calendar_cyclical, time__annual_calendar_cyclical, price__price_same_period_lags, price__price_neighbor_lags_7d, price__price_rolling_same_period_2d, price__price_daily_summary_lag_7d, price__neighbor_prices_lag_24h, price__price_neighbor_spreads_lag_168h, price__price_neighbor_spread_rolling_7d, fundamentals__fund_wind_solar_fc, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_system_aggregates, fundamentals__fund_system_stress, fundamentals__fund_ttf_da, fundamentals__fund_np_da_volumes, fundamentals__fund_np_ida_volumes, fundamentals__fund_np_ida_capacity_dk2, fundamentals__fund_np_ida_capacity_nl, fundamentals__fund_np_ida_capacity_aggregates, fundamentals__fund_np_intraday, weather__weather_wind100m_bulk, weather__weather_wind10m, weather__weather_temperature, weather__weather_humidity, weather__weather_solar",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,2543.2042500083335,2551.3403836237267,25.432042500083334,2.47221739590168,with_penalty,,2684.0
lgbm_fs4_np,lgbm,tree,fs4,73.0,12.184397605688536,12.184397605688536,17.664506031177694,12.184397605688536,18.995454539534396,0.787287868514449,15.142227584359684,20.019979975185052,0.8792132741936053,71.0,233.0,35,128,"time__intraday_position_raw, time__month_boundary_indicators, time__intraday_settlement_period_cyclical, time__intraday_day_progress_cyclical, time__annual_calendar_cyclical, price__price_neighbor_lags_3d, price__price_rolling_same_period_2d, price__price_rolling_same_period_3d, price__price_rolling_same_period_7d, price__price_daily_summary_lag_1d, price__price_daily_summary_lag_3d, price__price_daily_summary_lag_7d, price__neighbor_prices_lag_24h, price__price_neighbor_spreads_lag_24h, price__price_neighbor_spread_rolling_7d, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_scheduled_exchanges, fundamentals__fund_net_imports, fundamentals__fund_load_lag_24h, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_load_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_system_aggregates, fundamentals__fund_system_stress, fundamentals__fund_ttf_da, fundamentals__fund_eua_carbon, fundamentals__fund_nordic_hydro_levels, fundamentals__fund_np_ida_volumes, fundamentals__fund_np_ida_capacity_dk2, fundamentals__fund_np_ida_capacity_ger, weather__weather_wind100m_zones, weather__weather_wind10m, weather__weather_temperature",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,2261.324429953005,2270.382181955967,22.613244299530052,4.531756822951138,no_penalty,,2684.0
xgb_fs4_np,xgb,tree,fs4,97.0,12.39247256448644,12.39247256448644,17.942687058374,12.39247256448644,18.478578634747095,0.7987063828939174,15.334676598877396,19.677789870038538,0.8833070635086951,71.0,233.0,34,104,"time__intraday_position_raw, time__weekly_calendar_raw, time__month_boundary_indicators, time__dst_indicators, time__intraday_settlement_period_cyclical, time__minute_of_day_cyclical, time__weekly_calendar_cyclical, price__price_neighbor_lags_2d, price__price_neighbor_lags_3d, price__price_rolling_same_period_7d, price__price_daily_summary_lag_2d, price__price_daily_summary_lag_3d, price__neighbor_prices_lag_168h, price__price_neighbor_spread_rolling_7d, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_load_lag_24h, fundamentals__fund_wind_solar_lag_24h, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_neighbours_residual_load_fc, fundamentals__fund_system_stress, fundamentals__fund_ttf_da, fundamentals__fund_eua_carbon, fundamentals__fund_hydro_regime_dev, fundamentals__fund_np_da_volumes, fundamentals__fund_np_ida_volumes, fundamentals__fund_np_ida_capacity_aggregates, weather__weather_wind100m_bulk, weather__weather_wind100m_zones, weather__weather_wind10m, weather__weather_wind_shear, weather__weather_temperature, weather__weather_pressure",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,2679.7375370031223,2687.1640861677006,26.797375370031222,3.15798879833892,no_penalty,,2684.0
catboost_fs4_wp,catboost,tree,fs4,97.0,12.017369177646673,11.890904812053975,17.345879335813592,11.890904812053975,18.682592848949533,0.7942370500149125,15.412361378065064,20.592935947647714,0.8722007018543911,71.0,233.0,28,95,"time__intraday_position_raw, time__weekly_calendar_raw, time__intraday_settlement_period_cyclical, time__intraday_day_progress_cyclical, time__annual_calendar_cyclical, price__price_neighbor_lags_3d, price__price_neighbor_lags_7d, price__price_rolling_same_period_2d, price__price_rolling_same_period_3d, price__price_rolling_same_period_7d, price__neighbor_prices_lag_24h, price__price_neighbor_spread_rolling_7d, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_net_imports, fundamentals__fund_forecast_error_24h, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_system_aggregates, fundamentals__fund_system_stress, fundamentals__fund_ttf_da, fundamentals__fund_hydro_regime_dev, fundamentals__fund_np_da_volumes, fundamentals__fund_np_ida_volumes, fundamentals__fund_np_ida_capacity_nl, weather__weather_wind100m_zones, weather__weather_forecast_error_24h",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,3473.2649803608656,3475.5382474712096,34.73264980360866,4.858523195143789,with_penalty,,2684.0
catboost_fs4_np,catboost,tree,fs4,79.0,12.236441432158998,12.236441432158998,17.414902833291475,12.236441432158998,18.83484106695367,0.790869777825749,15.487377557268974,20.54613563718595,0.872780925137258,71.0,233.0,33,110,"time__intraday_position_raw, time__weekly_calendar_raw, time__intraday_settlement_period_cyclical, time__intraday_day_progress_cyclical, time__annual_calendar_cyclical, price__price_neighbor_lags_1d, price__price_neighbor_lags_2d, price__price_neighbor_lags_3d, price__price_rolling_same_period_2d, price__price_rolling_same_period_3d, price__price_rolling_same_period_7d, price__neighbor_prices_lag_24h, price__neighbor_prices_lag_168h, price__price_neighbor_spreads_lag_24h, price__price_neighbor_spread_rolling_7d, fundamentals__fund_load_fc, fundamentals__fund_wind_solar_fc, fundamentals__fund_net_imports, fundamentals__fund_forecast_error_24h, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_system_aggregates, fundamentals__fund_ttf_da, fundamentals__fund_eua_carbon, fundamentals__fund_hydro_regime_dev, fundamentals__fund_np_da_volumes, fundamentals__fund_np_ida_capacity_dk2, fundamentals__fund_np_ida_capacity_nl, fundamentals__fund_np_intraday, weather__weather_wind100m_zones, weather__weather_solar, weather__weather_forecast_error_24h",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,3375.1313319620676,3376.124717429746,33.75131331962068,6.551230225712061,no_penalty,,2684.0
xgb_fs3_np,xgb,tree,fs3,63.0,12.14352235341884,12.14352235341884,17.345737299676312,12.143522353418842,18.032790191705327,0.8083014893946816,15.706651977796135,20.02807827895106,0.8791155352910179,61.0,209.0,29,93,"time__intraday_position_raw, time__intraday_position_dst_aware, time__month_boundary_indicators, time__day_type_indicators, time__dst_indicators, time__intraday_settlement_period_cyclical, time__minute_of_day_cyclical, time__monthly_calendar_cyclical, price__price_neighbor_lags_1d, price__price_neighbor_lags_7d, price__price_rolling_same_period_2d, price__price_rolling_same_period_7d, price__neighbor_prices_lag_24h, price__price_neighbor_spreads_lag_24h, price__price_neighbor_spreads_lag_168h, price__price_dst_imputation_indicator, fundamentals__fund_load_fc, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_net_imports, fundamentals__fund_wind_solar_lag_24h, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_system_aggregates, fundamentals__fund_system_stress, fundamentals__fund_nordic_hydro_levels, fundamentals__fund_np_ida_capacity_dk2, fundamentals__fund_np_ida_capacity_nl",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,2294.609413646627,2300.2723207720555,22.94609413646627,3.9286705814301968,no_penalty,,2684.0
hgbt_fs4_np,hgbt,tree,fs4,60.0,12.353425110479378,12.353425110479378,17.689460085418126,12.35342511047938,18.736325820503314,0.7930517590582415,16.04392002337558,20.826682538007976,0.8692829838835524,71.0,233.0,37,130,"time__weekly_calendar_raw, time__dst_indicators, time__intraday_day_progress_cyclical, time__minute_of_day_cyclical, time__annual_calendar_cyclical, time__auction_horizon, price__price_same_period_lags, price__price_neighbor_lags_2d, price__price_neighbor_lags_3d, price__price_rolling_same_period_7d, price__price_daily_summary_lag_1d, price__price_daily_summary_lag_2d, price__price_daily_summary_lag_3d, price__neighbor_prices_lag_168h, price__price_neighbor_spreads_lag_168h, price__price_neighbor_spread_rolling_7d, fundamentals__fund_load_fc, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_load_lag_24h, fundamentals__fund_residual_load_rolling, fundamentals__fund_neighbours_load_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_neighbours_residual_load_fc, fundamentals__fund_system_aggregates, fundamentals__fund_nordic_hydro_aggregates, fundamentals__fund_np_da_volumes, fundamentals__fund_np_ida_capacity_ger, fundamentals__fund_np_ida_capacity_nl, fundamentals__fund_np_ida_capacity_aggregates, fundamentals__fund_np_intraday, weather__weather_wind100m_bulk, weather__weather_wind100m_zones, weather__weather_wind10m, weather__weather_wind_shear, weather__weather_pressure",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,2621.1984274368733,2629.4694753079675,26.21198427436873,7.017086536157876,no_penalty,,2684.0
hgbt_fs4_wp,hgbt,tree,fs4,60.0,12.520921936931654,12.353425110479378,17.689460085418126,12.35342511047938,18.736325820503314,0.7930517590582415,16.04392002337558,20.826682538007976,0.8692829838835524,71.0,233.0,37,130,"time__weekly_calendar_raw, time__dst_indicators, time__intraday_day_progress_cyclical, time__minute_of_day_cyclical, time__annual_calendar_cyclical, time__auction_horizon, price__price_same_period_lags, price__price_neighbor_lags_2d, price__price_neighbor_lags_3d, price__price_rolling_same_period_7d, price__price_daily_summary_lag_1d, price__price_daily_summary_lag_2d, price__price_daily_summary_lag_3d, price__neighbor_prices_lag_168h, price__price_neighbor_spreads_lag_168h, price__price_neighbor_spread_rolling_7d, fundamentals__fund_load_fc, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_load_lag_24h, fundamentals__fund_residual_load_rolling, fundamentals__fund_neighbours_load_fc, fundamentals__fund_neighbours_wind_solar_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_neighbours_residual_load_fc, fundamentals__fund_system_aggregates, fundamentals__fund_nordic_hydro_aggregates, fundamentals__fund_np_da_volumes, fundamentals__fund_np_ida_capacity_ger, fundamentals__fund_np_ida_capacity_nl, fundamentals__fund_np_ida_capacity_aggregates, fundamentals__fund_np_intraday, weather__weather_wind100m_bulk, weather__weather_wind100m_zones, weather__weather_wind10m, weather__weather_wind_shear, weather__weather_pressure",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,2600.473205862567,2608.8297752137296,26.004732058625667,6.745117436628789,with_penalty,,2684.0
lasso_fs3_wp,lasso,linear,fs3,92.0,14.450065154639253,14.319363138794873,20.225147901507484,14.319363138794873,20.767036017053222,0.7457611523944072,16.276391187023535,22.08397754840757,0.8530239656265948,61.0,209.0,25,81,"time__intraday_position_dst_aware, time__weekly_calendar_raw, time__dst_indicators, time__intraday_day_progress_cyclical, time__annual_calendar_cyclical, price__price_neighbor_lags_3d, price__price_neighbor_lags_7d, price__price_rolling_same_period_7d, price__price_daily_summary_lag_1d, price__price_daily_summary_lag_2d, price__neighbor_prices_lag_24h, price__price_dst_imputation_indicator, fundamentals__fund_wind_solar_fc, fundamentals__fund_residual_load_fc, fundamentals__fund_dk1_gen_fc, fundamentals__fund_neighbours_gen_fc, fundamentals__fund_neighbours_residual_load_fc, fundamentals__fund_system_stress, fundamentals__fund_ttf_da, fundamentals__fund_eua_carbon, fundamentals__fund_nordic_hydro_levels, fundamentals__fund_np_ida_volumes, fundamentals__fund_np_ida_capacity_ger, fundamentals__fund_np_ida_capacity_aggregates, fundamentals__fund_np_intraday",cpu,AMD EPYC-Genoa Processor (8 vCPU),100,4265.075077781454,4285.854900763836,42.65075077781454,2.7009314936585724,with_penalty,,2684.0
